Department,Category,Item Lookup Code,Description,Cost,Price,Price A,Price B,Price C
TOBACCO,SMOKE TOBACCO,844504002951,AMERICAN CLUB MENTHOL  16OZ,8.1600,9.5000,6.7500,9.5000,9.5000
TOBACCO,SMOKE TOBACCO,844504002975,AMERICAN CLUB LIGHT 16OZ,8.1600,9.5000,6.7500,9.5000,9.5000
TOBACCO,SMOKE TOBACCO,844504002982,AMERICAN CLUB CLASSIC 6OZ,4.0800,5.0000,4.5000,5.0000,5.0000
TOBACCO,SMOKE TOBACCO,844504003002,AMERICAN CLUB MENTHOL 6OZ,4.0800,5.0000,4.5000,5.0000,5.0000
TOBACCO,SMOKE TOBACCO,844504002999,AMERICAN CLUB LIGHT 6OZ,4.0800,5.0000,4.5000,5.0000,5.0000
TOBACCO,SMOKELESS,042100003642,BLOODHOUND CHEW TOBACCO 30OZ,99.2800,102.0000,74.0000,102.0000,102.0000
TOBACCO,SMOKE TOBACCO,077170460040,TOP GOLD CAN 6OZ,27.8800,29.5000,21.2500,29.5000,29.5000
TOBACCO,SMOKE TOBACCO,077170466523,TOP MENTHOL CAN 6OZ,27.8800,29.5000,21.2500,29.5000,29.5000
TOBACCO,SMOKE TOBACCO,077170462020,TOP SUPEROLL MENTHOL CAN 3.5OZ,17.2800,19.5000,13.2500,19.5000,19.5000
TOBACCO,SMOKE TOBACCO,077170462006,TOP SUPEROLL REGULAR CAN 3.5OZ,17.2800,19.5000,13.2500,19.5000,19.5000
TOBACCO,60CT CIGAR,812319017224,GOODTIMES FRENCH GRAPE15PK 3CT,9.1800,10.2500,7.2500,10.2500,10.2500
TOBACCO,60CT CIGAR,818892011314,GOODTIMES SOUR APPLE 15PK 3CT,9.1800,10.2500,7.2500,10.2500,10.2500
TOBACCO,SMOKE TOBACCO,071737401064,CAPTAIN BLACK ORIG POUCH 9OZ,37.2000,41.0000,28.0000,41.0000,41.0000
TOBACCO,SMOKE TOBACCO,077170632638,GAMBLER TUBECUT MENTHOLBAG 8OZ,28.5600,31.0000,22.0000,31.0000,31.0000
TOBACCO,SMOKE TOBACCO,077170632836,GAMBLER TUBECUT SILVER BAG 8OZ,28.5600,31.0000,22.0000,31.0000,31.0000
TOBACCO,SMOKE TOBACCO,844504002968,AMERICAN CLUB CLASSIC 16OZ,8.1600,9.5000,6.7500,9.5000,9.5000
TOBACCO,SMOKE TOBACCO,077170110846,GAMBLER PIPE TOBAC TURKISH 6OZ,4.6900,5.5000,4.0000,5.5000,5.5000
TOBACCO,SMOKE TOBACCO,090600061136,PREMIER BLACK TOBACCO 8OZ,30.2600,35.0000,27.0000,35.0000,35.0000
TOBACCO,60CT CIGAR,031700232064,JACKPOT SWEET CIGAR 3FOR99,8.6400,9.2500,9.0000,9.2500,9.2500
TOBACCO,60CT CIGAR,031700232071,JACKPOT COGNAC CIGAR 3FOR99,8.6400,9.2500,9.0000,9.2500,9.2500
TOBACCO,60CT CIGAR,031700010365,JACKPOT BLUEBERRY CIGAR 3FOR99,8.6400,9.2500,9.0000,9.2500,9.2500
TOBACCO,60CT CIGAR,031700010389,JACKPOT PINEAPPLE CIGAR 3FOR99,8.6400,9.2500,9.0000,9.2500,9.2500
TOBACCO,60CT CIGAR,031700010396,JACKPOT MANGO CIGAR 3FOR99,8.6400,9.2500,9.0000,9.2500,9.2500
TOBACCO,60CT CIGAR,031700232088,JACKPOT SILVER CIGAR 3FOR99,8.6400,9.2500,9.0000,9.2500,9.2500
TOBACCO,60CT CIGAR,031700232170,JACKPOT WHITE GRAPCIGAR 3FOR99,8.6400,9.2500,9.0000,9.2500,9.2500
TOBACCO,60CT CIGAR,031700232187,JACKPOT TROPICAL CIGAR 3FOR99,8.6400,9.2500,9.0000,9.2500,9.2500
TOBACCO,60CT CIGAR,818892010089,GOODTIMES BLACK 15PK 3CT,9.1800,10.2500,7.2500,0.0000,0.0000
TOBACCO,SMOKE TOBACCO,6291100731893,AL FAKHER 2 APPLE W/MINT 10CT,17.3500,19.5000,19.5000,19.5000,19.5000
TOBACCO,SMOKE TOBACCO,6291100737338,AL FAKHER BLUEBERRY W/MINT10CT,17.3000,19.5000,19.5000,19.5000,19.5000
TOBACCO,SMOKE TOBACCO,6291100732937,AL FAKHER GRAPE W/MINT 10CT,17.3500,19.5000,19.5000,19.5000,19.5000
TOBACCO,SMOKE TOBACCO,6291100733736,AL FAKHER GUAVA 10CT,17.3500,19.5000,19.5000,19.5000,19.5000
TOBACCO,SMOKE TOBACCO,6291100736478,AL FAKHER GUM CINNAMON 10CT,17.3500,19.5000,19.5000,19.5000,19.5000
TOBACCO,SMOKE TOBACCO,6291100731251,AL FAKHER GUM10CT,17.3500,19.5000,19.5000,19.5000,19.5000
TOBACCO,SMOKE TOBACCO,6291100731794,AL FAKHER ORANGE W/MINT 10CT,17.3500,19.5000,19.5000,19.5000,19.5000
TOBACCO,SMOKE TOBACCO,6291100732890,AL FAKHER PEACH 10CT,17.3500,19.5000,19.5000,19.5000,19.5000
TOBACCO,SMOKE TOBACCO,6291100731206,AL FAKHER ROSE 10CT,17.3500,19.5000,19.5000,19.5000,19.5000
TOBACCO,SMOKE TOBACCO,6291100731282,AL FAKHER VANNILA 10CT,17.3500,19.5000,19.5000,19.5000,19.5000
TOBACCO,SMOKE TOBACCO,6291100730629,AL FAKHER W.MELON W/MINT 10CT,17.3500,19.5000,19.5000,19.5000,19.5000
TOBACCO,SMOKE TOBACCO,813525011228,GOLDEN HARVESTPIPETOB ROBUST,11.5600,13.5000,13.5000,13.5000,13.5000
TOBACCO,SMOKE TOBACCO,813525011273,GOLDEN HARVESTPIPETOB MINT 16Z,11.5600,13.5000,13.5000,13.5000,13.5000
TOBACCO,60CT CIGAR,025900435257,SWISHER SWEET DULECHE 30PK 2CT,21.6500,24.5000,24.5000,24.5000,24.5000
TOBACCO,60CT CIGAR,818892012434,GOODTIMES FRUIT PUNCH 15PK 3CT,7.4800,10.2500,0.0000,0.0000,0.0000
TOBACCO,SMOKE TOBACCO,813525011235,GOLDEN HARVESTPIPETOB MILS 16Z,11.5600,13.5000,0.0000,0.0000,0.0000
TOBACCO,45mg VAPE,7422715695716,FLY BAR WATERMELON BUBBLE 10PK,63.2500,82.5000,0.0000,82.4500,0.0000
TOBACCO,45mg VAPE,7422715648040,FLY BAR GREEN CRACK 10PK 5KPUF,63.2500,82.5000,0.0000,82.4500,0.0000
TOBACCO,45mg VAPE,7422715656106,FLY BAR JUICY PEACH 10PK 5KPUF,63.2500,82.5000,0.0000,82.4500,0.0000
TOBACCO,45mg VAPE,7422715691138,FLY BAR STRAW CREAM 10PK 5KPUF,63.2500,82.5000,0.0000,82.4500,0.0000
TOBACCO,45mg VAPE,7422715696706,FLY BAR MYSTERY SMASH 10PK 5K,63.2500,82.5000,0.0000,82.4500,0.0000
TOBACCO,45mg VAPE,7422715696188,FLY BAR PACIFIC COOLER 10PK 5K,63.2500,82.5000,0.0000,82.4500,0.0000
TOBACCO,60CT CIGAR,818892016289,4K'S KINGS STRAWBERRY CHEESECK,10.2000,12.5000,0.0000,12.4500,0.0000
TOBACCO,25CT CIGAR,070137005421,BLACK N MILD CREAM UPRIGHT25CT,21.3000,26.5000,26.5000,26.5000,26.5000
TOBACCO,50CT CIGAR,070137510185,BLACK N MILD ROYALE 10PK 5CT,44.2000,52.7500,52.7500,52.7500,52.7500
TOBACCO,60CT CIGAR,818892013172,GOODTIMES BLACK CHERRY15PK 3CT,9.1800,10.2500,7.2500,10.2500,10.2500
TOBACCO,SMOKE TOBACCO,071737223963,MIDNIGHT SPECIAL MENTHOL 7.8OZ,34.0000,35.5000,25.7500,35.5000,35.5000
TOBACCO,60CT CIGAR,812319018870,GOODTIMES KUSH 15PK 3CT,9.1800,10.2500,7.2500,10.2500,10.2500
TOBACCO,60CT CIGAR,070235501368,PHILLIES BLUNT REG 10PK 5CT,45.5600,48.5000,34.5000,48.5000,48.5000
TOBACCO,SMOKELESS,070195354035,DAYS WORK CHEW TOBACCO 30OZ,91.1200,94.5000,68.0000,94.5000,94.5000
TOBACCO,SMOKE TOBACCO,090600061150,PREMIER MENTHOL TOBACCO 8OZ,34.0000,35.0000,27.0000,35.0000,35.0000
TOBACCO,SMOKE TOBACCO,071737408063,CAPTAIN BLACK ROYAL POUCH 9OZ,37.2000,41.0000,28.0000,41.0000,41.0000
TOBACCO,SMOKE TOBACCO,077170469272,TOP REGULAR CAN 6OZ,27.8800,29.5000,21.2500,29.5000,29.5000
TOBACCO,SMOKELESS,035106057078,BEECHNUT ORIGINAL 12CT 3OZ,50.9900,72.9900,52.0000,0.0000,0.0000
TOBACCO,SMOKELESS,042100007725,LEVI GARRETT  12CT 3OZ,50.9900,72.0000,52.0000,0.0000,0.0000
TOBACCO,SMOKE TOBACCO,047995100940,AMERICAN SPIRIT PERQ BLEND BLK,52.1500,53.5000,39.5000,53.5000,53.5000
TOBACCO,SMOKE TOBACCO,6291100731077,AL FAKHER 2 APPLES 10CT,17.3500,19.5000,19.5000,19.5000,19.5000
TOBACCO,SMOKE TOBACCO,6291100731336,AL FAKHER BERRY 10CT,17.3500,19.5000,19.5000,19.5000,19.5000
TOBACCO,SMOKE TOBACCO,6291100737314,AL FAKHER BLUEBERRY 10CT,17.3500,19.5000,19.5000,19.5000,19.5000
TOBACCO,SMOKE TOBACCO,6291100731022,AL FAKHER GRAPE 10CT,17.3500,19.5000,19.5000,19.5000,19.5000
TOBACCO,SMOKE TOBACCO,6291100731176,AL FAKHER PINEAPPLE 10CT,17.3500,19.5000,19.5000,19.5000,19.5000
TOBACCO,SMOKE TOBACCO,6291100731299,AL FAKHER WATERMELON 10CT,17.0000,18.5000,19.5000,19.5000,19.5000
TOBACCO,SMOKE TOBACCO,802084138491,AFZAL KESAR PAN 10CT,17.3500,19.5000,19.5000,19.5000,19.5000
TOBACCO,SMOKE TOBACCO,802084126238,AFZAL LIME LEMON 10CT,17.3500,19.5000,19.5000,19.5000,19.5000
TOBACCO,SMOKE TOBACCO,802084132499,AFZAL PAN MASALA 10CT,17.3500,19.5000,19.5000,19.5000,19.5000
TOBACCO,SMOKE TOBACCO,802084125736,AFZAL STRAWBERRY 10CT,17.3500,19.5000,19.5000,19.5000,19.5000
TOBACCO,60CT CIGAR,842426146166,GOODTIMES KASH 15PK 3CT,9.1800,10.2500,10.2500,10.2500,10.2500
TOBACCO,60CT CIGAR,818892019488,GOODTIMES GRAPE CHERRY15PK 3CT,9.1800,10.2500,7.2500,10.2500,10.2500
TOBACCO,60CT CIGAR,818892010201,GOODTIMES PINEAPPLE 15PK 3CT,9.1800,10.2500,7.2500,10.2500,10.2500
TOBACCO,60CT CIGAR,076452304515,JEWEL HAV-A-TAMPA REG 20PK 5CT,84.5200,86.5000,63.0000,86.5000,86.5000
TOBACCO,60CT CIGAR,071610456129,MURIEL CORONELLA 2PK SPEC 50CT,28.5600,31.0000,22.0000,31.0000,31.0000
TOBACCO,SMOKE TOBACCO,077170462013,TOP SUPEROLL GOLD CAN 3.5OZ,17.2800,19.5000,13.2500,19.5000,19.5000
TOBACCO,SMOKE TOBACCO,6291100731107,AL FAKHER MANGO 10CT,17.3500,19.5000,19.5000,19.5000,19.5000
TOBACCO,SMOKE TOBACCO,6291100731015,AL FAKHER ORANGE 10CT,17.3500,19.5000,19.5000,19.5000,19.5000
TOBACCO,SMOKE TOBACCO,802084133090,AFZAL PAN APPLE SPLASH 10CT,17.3500,19.5000,19.5000,19.5000,19.5000
TOBACCO,MOIST SNUFF,073100025952,COPENHAGEN STRAIGHT LONGCUT  ,16.4000,17.7500,17.7500,17.7500,17.7500
TOBACCO,SMOKE TOBACCO,077170460354,TOP MENTHOL SUPER ROLL 4.8OZ,27.2000,29.5000,20.7500,29.5000,29.5000
TOBACCO,SMOKE TOBACCO,6291100731039,AL FAKHER MINT 10CT,17.3500,19.5000,19.5000,19.5000,19.5000
TOBACCO,SMOKE TOBACCO,802084128492,AFZAL PAN RAAS 10CT,17.3500,19.5000,19.5000,19.5000,19.5000
TOBACCO,SMOKE TOBACCO,6291100736317,AL FAKHER CITRUS W/MINT 10CT,17.3500,19.5000,19.6500,19.5000,19.5000
TOBACCO,SMOKE TOBACCO,077170110860,GAMBLER PIPE TOB TURKISH 16OZ,10.8800,11.5000,8.7500,11.5000,11.5000
TOBACCO,60CT CIGAR,025900287498,SAVE ON 2 SS TRO. FUSION 60CT,28.9000,31.5000,31.5000,31.5000,31.5000
TOBACCO,SMOKE TOBACCO,6291100731053,AL FAKHER CHERRY 10CT,17.3500,19.5000,19.5000,19.5000,19.5000
TOBACCO,SMOKE TOBACCO,6291100731275,AL FAKHER KIWI 10CT,17.3500,19.5000,19.5000,19.5000,19.5000
TOBACCO,45mg VAPE,602001688029,VIVA ICED PEACH,4.3100,5.5000,5.5000,5.5000,5.5000
TOBACCO,45mg VAPE,602001688036,VIVA RAZZ WATERMELON,4.3100,5.5000,5.5000,5.5000,5.5000
TOBACCO,SMOKE TOBACCO,071737444160,CAPTAIN BLACK CHERRY POUCH 9OZ,37.2000,41.0000,28.0000,41.0000,41.0000
TOBACCO,SMOKE TOBACCO,802084128072,AFZAL LYCHEE 10CT,17.3500,19.5000,19.5000,19.5000,19.5000
TOBACCO,45mg VAPE,602001687879,VIVA ICED BANANA BOMB,4.3100,5.5000,5.5000,5.5000,5.5000
TOBACCO,45mg VAPE,602001687848,VIVA ICED LUSH,4.3100,5.5000,5.5000,5.5000,5.5000
TOBACCO,60CT CIGAR,025900276751,SWISHER  DIAMONDS B1G1 20PK 5C,42.8400,45.0000,32.2500,45.0000,45.0000
TOBACCO,SMOKE TOBACCO,071737123966,MIDNIGHT SPECIAL REGULAR 7.8OZ,34.0000,35.5000,35.5000,35.5000,35.5000
TOBACCO,45mg VAPE,602001687800,VIVA PINK LEMONADE,4.3100,5.5000,5.5000,5.5000,5.5000
TOBACCO,60CT CIGAR,025900277154,SWISHER SWEETS WOODTIP 5FOR3 ,23.4000,25.7500,25.7500,25.7500,25.7500
TOBACCO,60CT CIGAR,025900297008,SWISHER SWEET REG 5F3 100CT,42.1600,44.5000,31.5000,44.5000,44.5000
TOBACCO,60CT CIGAR,025900426880,SWISHER  TROPICAL ICE 30PK 2CT,23.6500,25.7500,25.7500,25.7500,25.7500
TOBACCO,60CT CIGAR,025900295400,SWISHER  PERFECTO 20CT B1G1 5P,50.3200,52.3200,52.3200,52.3200,52.3200
TOBACCO,60CT CIGAR,025900337667,SWISHER  MAUI PINEAPPLE30PK2CT,23.6500,27.5000,27.5000,27.5000,27.5000
TOBACCO,60CT CIGAR,025900445928,SWISHER  MANGO 30PK 2CT,23.6500,27.5000,27.5000,27.5000,27.5000
TOBACCO,60CT CIGAR,025900426897,SWISHER  LEMON ICE 30PK2CT,23.6500,27.5000,27.5000,27.5000,27.5000
TOBACCO,60CT CIGAR,025900320669,SWISHER  BOOZY WATRMLN 30PK2CT,23.6500,27.5000,27.5000,27.5000,27.5000
TOBACCO,60CT CIGAR,025900426811,SWISHER  BOOZY MANGO 30PK2CT,23.6500,27.5000,27.5000,27.5000,27.5000
TOBACCO,60CT CIGAR,071610496187,DUTCH RUM FUS 2/99 60CT,22.7800,24.7500,25.9000,25.9000,25.9000
TOBACCO,60CT CIGAR,025900435288,SWISHER  CALYPSOCRM 30PK 2CT,23.6500,27.5000,27.5000,27.5000,27.5000
TOBACCO,60CT CIGAR,025900293789,SWISHER  CHOCOLATE 30PK  2CT,23.6500,27.5000,27.5000,27.5000,27.5000
TOBACCO,60CT CIGAR,025900425982,SWISHER  CHRRY DYNM 30PK  2CT,23.6500,27.5000,27.5000,27.5000,27.5000
TOBACCO,SMOKE TOBACCO,812615003747,GOLDEN LEAF PIPTOB COOLMT 16OZ,10.5400,13.5000,13.5000,13.5000,13.5000
TOBACCO,60CT CIGAR,025900294304,SWISHER  BLUNT TWIN PACK,50.3200,52.3200,52.3200,52.3200,52.3200
TOBACCO,SMOKE TOBACCO,812615003730,GOLDEN LEAF PIPTOB SMOOTH 16OZ,10.5400,13.5000,13.5000,13.5000,13.5000
TOBACCO,SMOKE TOBACCO,812615003723,GOLDEN LEAF PIPE TOB REG 16OZ,10.5400,13.5000,13.5000,13.5000,13.5000
TOBACCO,60CT CIGAR,812319017286,GOODTIMES WHITE GRAPE 15PK 3CT,7.2500,10.2500,0.0000,0.0000,0.0000
TOBACCO,60CT CIGAR,812319018719,GOODTIMES BLUEBERRY 15PK 3CT,7.4800,10.2500,0.0000,0.0000,0.0000
TOBACCO,45mg VAPE,859856234929,MR FOG MAX APPLE GRAPE LEMON,89.7000,95.0000,0.0000,0.0000,0.0000
TOBACCO,45mg VAPE,859856234714,MR FOG MAX MINT MENTHOL,89.7000,95.0000,0.0000,0.0000,0.0000
TOBACCO,45mg VAPE,6971578999567,HQD CUVIE PLUS SBCC ICE CREAM,34.5400,48.0000,0.0000,0.0000,0.0000
TOBACCO,45mg VAPE,6971578991967,HQD CUVIE PLUS PINEAPPLE,34.5400,48.0000,0.0000,0.0000,0.0000
TOBACCO,45mg VAPE,6971578998546,HQD CUVIE PLUS PINA COLADA,34.5400,48.0000,0.0000,0.0000,0.0000
TOBACCO,,6971578996863,HQD CUVIE PLUS ORANGE GUAVA,34.5400,48.0000,6.5000,8.0000,8.0000
TOBACCO,45mg VAPE,6971578993466,HQD CUVIE PLUS MIAMI VICE,34.5400,48.0000,0.0000,0.0000,0.0000
TOBACCO,45mg VAPE,6971578997341,HQD CUVIE PLUS MANGO ICE,34.5400,48.0000,0.0000,0.0000,0.0000
TOBACCO,45mg VAPE,6971578998539,HQD CUVIE PLUS CANDY,34.5400,48.0000,0.0000,0.0000,0.0000
TOBACCO,60CT CIGAR,818892010027,GOODTIMES GREEN SWEET 15PK 3CT,7.2500,10.2500,0.0000,0.0000,0.0000
TOBACCO,45mg VAPE,6971578998515,HQD CUVIE PLUS ENERGY DRINK,34.5400,48.0000,0.0000,0.0000,0.0000
TOBACCO,SMOKE TOBACCO,802084127334,AFZAL BOMBAY PAN MASALA 10CT,17.3500,19.5000,19.5000,19.5000,19.5000
TOBACCO,,6971578996931,HQD CUVIE PLUS APPLE PEACH,34.5400,48.0000,0.0000,0.0000,0.0000
TOBACCO,60CT CIGAR,025900297015,SWISHER  GRAPE 5FR3 20PK5CT,43.5200,48.5000,48.5000,48.5000,48.5000
TOBACCO,45mg VAPE,6971578996917,HQD CUVIE PLUS STRAW/BANANA,34.5400,48.0000,0.0000,0.0000,0.0000
TOBACCO,45mg VAPE,602001687831,VIVA BLUE RAZZ,4.3100,5.5000,5.5000,5.5000,5.5000
TOBACCO,45mg VAPE,859856234912,MR FOG MAX MANGO PINE LEMON,89.7000,95.0000,0.0000,0.0000,0.0000
TOBACCO,45mg VAPE,602001687862,VIVA ICED STRAWBERRY,4.3100,5.5000,5.5000,5.5000,5.5000
TOBACCO,45mg VAPE,859856234721,MR FOG MAX BLUE RASP CHERRY,89.7000,95.0000,0.0000,0.0000,0.0000
TOBACCO,45mg VAPE,602001688098,VIVA MANGO STRAWBERRY,4.3100,5.5000,5.5000,5.5000,5.5000
TOBACCO,45mg VAPE,6971578993497,HQD CUVIE PLUS RED ICE,34.5400,48.0000,0.0000,0.0000,0.0000
TOBACCO,,6971578996849,HQD CUVIE PLUS GRAPEY,34.5400,48.0000,0.0000,0.0000,0.0000
TOBACCO,45mg VAPE,6971578997310,HQD CUVIE PLUS LUSH ICE,34.5400,48.0000,0.0000,0.0000,0.0000
TOBACCO,,6971578996832,HQD CUVIE PLUS BLUE RASPBERRY,34.5400,48.0000,0.0000,0.0000,0.0000
TOBACCO,,6971578996887,HQD CUVIE PLUS PINK LEMON,34.5400,48.0000,0.0000,0.0000,0.0000
TOBACCO,45mg VAPE,6971578991561,HQD CUVIE PLUS STRAWBERRY,34.5400,48.0000,0.0000,0.0000,0.0000
TOBACCO,,6971578996924,HQD CUVIE PLUS MANGO GUAVA,34.5400,48.0000,0.0000,0.0000,0.0000
TOBACCO,,6971578996825,HQD CUVIE PLUS BLUEBERRY,34.5400,48.0000,0.0000,0.0000,0.0000
TOBACCO,,6971578996900,HQD CUVIE PLUS ICE MINT,34.5400,48.0000,0.0000,0.0000,0.0000
TOBACCO,,6973826704244,HQD PEACH MANGO,5.7500,48.0000,0.0000,0.0000,0.0000
TOBACCO,45mg VAPE,6971578998676,HQD CUVIE PLUS BLACK ICE,34.5400,48.0000,0.0000,0.0000,0.0000
TOBACCO,45mg VAPE,859856234868,MR FOG MAX RASP STRAW LYCHEE,89.7000,98.0000,0.0000,0.0000,0.0000
TOBACCO,,6973826702936,HQD GRACURRANT,5.7500,48.0000,0.0000,0.0000,0.0000
TOBACCO,SMOKE TOBACCO,077170460316,TOP REGULAR SUPER ROLL 4.8OZ,27.2000,29.5000,20.7500,29.5000,29.5000
TOBACCO,60CT CIGAR,025900426842,SWISHER  COCA BLUE 30PK2CT,23.6500,27.5000,27.5000,27.5000,27.5000
TOBACCO,45mg VAPE,859856234899,MR FOG MAX ORANGE PEACH PINE,89.7000,95.0000,0.0000,0.0000,0.0000
TOBACCO,60CT CIGAR,071610752870,AYC GRENADIERS 5PK 30COUNT,38.7600,40.7600,0.0000,0.0000,0.0000
TOBACCO,SMOKE TOBACCO,090600061259,PREMIER BLUE TOBACCO 8OZ,31.1500,35.0000,0.0000,34.9500,0.0000
TOBACCO,45mg VAPE,811960038855,ESCO BAR FIJI MELON 2500 10PK,76.0000,85.0000,0.0000,0.0000,0.0000
TOBACCO,45mg VAPE,753620370311,ESCO BAR GRAPE ICE 2500 10PK,76.0000,85.0000,0.0000,0.0000,0.0000
TOBACCO,45mg VAPE,850037090228,ESCO BAR WHITE GUMMY 2500 10PK,76.0000,85.0000,0.0000,0.0000,0.0000
TOBACCO,45mg VAPE,651357265224,ESCO BAR BLUERASP 2500 10PK,76.0000,85.0000,0.0000,0.0000,0.0000
TOBACCO,45mg VAPE,651357048834,ESCO BAR RED APPLE 2500 10PK,76.0000,85.0000,0.0000,0.0000,0.0000
TOBACCO,45mg VAPE,643934080122,ESCO BAR BANANA ICE 2500 10PK,76.0000,85.0000,0.0000,0.0000,0.0000
TOBACCO,45mg VAPE,811960037957,ESCO BAR KIWIDRAGON 2500 10PK,76.0000,85.0000,0.0000,0.0000,0.0000
TOBACCO,45mg VAPE,6974866048695,HQD 4500 SOUR APPLE 10PK,71.3000,86.5000,0.0000,86.4500,0.0000
TOBACCO,45mg VAPE,850039013812,ESCO BAR ICY MINT 2500 10PK,76.0000,85.0000,0.0000,0.0000,0.0000
TOBACCO,60CT CIGAR,10860004671609,THROWBACK 5PK SWEET AROMATIC,28.5600,32.0000,0.0000,0.0000,0.0000
TOBACCO,60CT CIGAR,031700001295,GARCIA VEGA FOIL 5 10PK 50CT,37.7400,42.7500,0.0000,0.0000,0.0000
TOBACCO,45mg VAPE,6937105402306,HQD 5K LUSH ICE 5PK,38.5000,47.5000,0.0000,47.4500,0.0000
TOBACCO,45mg VAPE,6937105402252,HQD 5K BLUEBERRY 5PK,38.5000,47.5000,0.0000,47.4500,0.0000
TOBACCO,45mg VAPE,6974866048800,HQD 4500 PEACH MANGO PINE 10PK,71.3000,86.5000,0.0000,86.4500,0.0000
TOBACCO,45mg VAPE,6974866048688,HQD 4500 KIWI STRAWBERRY 10PK,71.3000,86.5000,0.0000,86.4500,0.0000
TOBACCO,45mg VAPE,6937105411797,HQD 5K GREEN APPLE 5PK,38.5000,47.5000,0.0000,47.4500,0.0000
TOBACCO,45mg VAPE,6937105402290,HQD 5K STRAWBANANA 5PK,38.5000,47.5000,0.0000,47.4500,0.0000
TOBACCO,45mg VAPE,6937105402542,HQD 5K MINT 5PK,38.5200,47.5000,0.0000,47.4500,0.0000
TOBACCO,45mg VAPE,6937105402146,HQD 5K BLACK ICE 5PK,38.5300,47.5000,0.0000,47.4500,0.0000
TOBACCO,60CT CIGAR,842426153935,GOODTIMES DIAMOND,7.2500,10.2500,0.0000,0.0000,0.0000
TOBACCO,45mg VAPE,651357199659,ESCO BAR SPEARMINT 2500 10PK,76.0000,85.0000,0.0000,0.0000,0.0000
TOBACCO,60CT CIGAR,031700238400,WHITE OWL DRAGONFRUIT 2/99 60C,24.0000,25.9900,0.0000,25.9500,0.0000
TOBACCO,60CT CIGAR,025900303631,SWISHER BANANA DAIQUIR30PK 2CT,23.8000,24.9900,0.0000,24.9500,0.0000
TOBACCO,60CT CIGAR,031700237014,WHITEOWL WHITE CHO 99 30CT 2PK,23.2500,24.7500,0.0000,0.0000,0.0000
TOBACCO,60CT CIGAR,842426153843,GOODTIMES SWEET 15PK 3CT,7.2500,10.2500,0.0000,0.0000,0.0000
TOBACCO,SMOKE TOBACCO,027200005314,KITE MENTHOL CAN 6OZ,31.5000,35.0000,0.0000,0.0000,0.0000
TOBACCO,60CT CIGAR,025900277239,SWISHER REG TIP5FR3 10PK5CT,43.5000,48.5000,0.0000,0.0000,0.0000
TOBACCO,60CT CIGAR,031700009642,WHITE OWL HONEY 2/99,23.2500,25.9900,0.0000,25.9500,0.0000
